filename,mfcc_features
71.wav,"[-146.37664794921875, 136.56800842285156, -48.87457275390625, 40.99311065673828, 13.314130783081055, 18.546367645263672, -18.685033798217773, 16.638853073120117, 3.9212512969970703, -4.408128261566162, -6.603869915008545, 6.124122142791748, -1.210563063621521]"
65.wav,"[-273.5199890136719, 135.09014892578125, 24.132064819335938, 5.185806751251221, 14.61433219909668, 32.250885009765625, 3.599367380142212, 1.2560800313949585, 14.219878196716309, 11.91783332824707, 1.1294143199920654, 4.617883205413818, 6.5049028396606445]"
59.wav,"[-339.8545227050781, 100.70240783691406, 25.53612518310547, 11.673540115356445, 9.588326454162598, 13.658243179321289, 0.033999618142843246, 0.09331689774990082, 6.375308990478516, 2.1234192848205566, -0.4672127366065979, 3.4688756465911865, 6.8924880027771]"
40.wav,"[-401.6900634765625, 96.4561538696289, 64.61605072021484, 9.803555488586426, 16.985191345214844, 25.919294357299805, -3.5351765155792236, 8.072675704956055, 5.061322212219238, 18.490459442138672, -6.662715435028076, 11.039020538330078, 3.317526340484619]"
54.wav,"[-352.7705078125, 114.41474151611328, 33.687721252441406, 13.53903579711914, 18.108217239379883, 22.194908142089844, 10.382468223571777, 9.756937980651855, 10.779993057250977, 6.930559158325195, 2.180011749267578, 3.9686293601989746, 6.504364490509033]"
6.wav,"[-257.62518310546875, 136.8685760498047, 12.991883277893066, 20.872140884399414, 13.604031562805176, 29.758934020996094, 2.0007991790771484, 8.179412841796875, 13.93505573272705, 3.5890705585479736, 1.0869922637939453, 2.3148467540740967, 9.602754592895508]"
68.wav,"[-279.92938232421875, 130.64642333984375, 5.433130741119385, 8.282011985778809, 9.814876556396484, 29.953088760375977, -1.858199954032898, 5.84815788269043, 14.065418243408203, 8.263420104980469, 0.43247780203819275, 8.704700469970703, 4.123936176300049]"
83.wav,"[-274.25067138671875, 125.1494369506836, 45.58787536621094, 18.56830596923828, 3.224888563156128, 40.791133880615234, -15.976865768432617, 11.231134414672852, 3.1458797454833984, 20.11783790588379, -14.490278244018555, 19.157405853271484, -2.015833616256714]"
82.wav,"[-292.9285583496094, 110.48751068115234, 54.36801528930664, 22.683242797851562, 3.723132371902466, 37.758758544921875, -11.842924118041992, 9.957354545593262, 6.230988025665283, 21.639856338500977, -11.946924209594727, 15.05998706817627, 0.10211475938558578]"
69.wav,"[-272.06781005859375, 134.39642333984375, 11.008136749267578, 10.784217834472656, 9.41423511505127, 30.534320831298828, 0.22698600590229034, 5.740958213806152, 12.49215030670166, 7.1355509757995605, 1.6173756122589111, 6.581277370452881, 5.536351680755615]"
55.wav,"[-332.6125793457031, 129.45468139648438, 25.540315628051758, 4.042078971862793, 17.803165435791016, 19.812519073486328, 1.5140541791915894, 1.710844874382019, 7.9650163650512695, 3.6878135204315186, 0.19295601546764374, 7.2716803550720215, 10.546542167663574]"
7.wav,"[-264.3993225097656, 136.4250030517578, 7.8594651222229, 17.523550033569336, 8.066510200500488, 28.57471466064453, -1.6162370443344116, 4.781186103820801, 13.180819511413574, 5.981222152709961, -0.35659193992614746, 1.0455985069274902, 10.978571891784668]"
41.wav,"[-405.1826171875, 112.12229919433594, 61.093265533447266, 11.347646713256836, 11.3711576461792, 38.11309051513672, -11.189867973327637, 12.311127662658691, 2.443837881088257, 24.355009078979492, -15.429672241210938, 19.924243927001953, -0.7013697028160095]"
5.wav,"[-271.7754821777344, 145.15367126464844, 7.517221927642822, 27.399492263793945, 8.25401496887207, 35.43575668334961, 2.2421207427978516, 4.197458744049072, 9.783537864685059, 10.464598655700684, -8.125134468078613, 11.738168716430664, 2.506016492843628]"
57.wav,"[-345.7726745605469, 101.88832092285156, 34.908111572265625, 10.151689529418945, 16.495206832885742, 23.161638259887695, 14.183403968811035, 9.26322078704834, 12.849270820617676, 12.275307655334473, 7.583947658538818, 6.2241997718811035, 9.287677764892578]"
43.wav,"[-388.5994567871094, 122.29119873046875, 45.19839859008789, 11.283357620239258, 11.953107833862305, 33.044185638427734, -14.068285942077637, 15.115762710571289, 1.2510720491409302, 21.67802619934082, -16.067346572875977, 20.524141311645508, -2.5276877880096436]"
80.wav,"[-385.3900146484375, 100.43421173095703, 34.799705505371094, 44.74372482299805, -4.961909294128418, 40.234195709228516, -2.920444965362549, 14.406627655029297, 4.3579277992248535, 21.167415618896484, -10.707772254943848, 22.166566848754883, -4.4901299476623535]"
81.wav,"[-383.7379455566406, 93.04719543457031, 30.51749038696289, 42.248172760009766, -5.960556983947754, 48.811012268066406, -5.603365898132324, 17.8823184967041, 5.04457950592041, 20.23908042907715, -9.093247413635254, 18.98919105529785, -2.2483766078948975]"
42.wav,"[-384.209228515625, 130.99029541015625, 58.487205505371094, 10.416749954223633, 10.70843505859375, 36.8138313293457, -13.574814796447754, 10.867895126342773, -0.14389899373054504, 21.833457946777344, -15.616064071655273, 19.378528594970703, 0.23411540687084198]"
4.wav,"[-235.4196014404297, 170.2601318359375, 7.466137886047363, 28.98150634765625, 8.456829071044922, 33.82452392578125, -9.798975944519043, 2.122981548309326, 14.578624725341797, 16.624954223632812, -2.0967063903808594, 11.231502532958984, 1.9126079082489014]"
56.wav,"[-315.1899108886719, 111.3851547241211, 31.37078285217285, 4.73269510269165, 11.78541088104248, 17.515270233154297, 4.830469608306885, 0.9584766030311584, 5.530158519744873, 3.3470258712768555, 1.7715227603912354, 4.817718982696533, 8.773634910583496]"
52.wav,"[-316.34521484375, 113.58809661865234, 29.48003387451172, 15.17035961151123, 21.658239364624023, 24.225492477416992, 8.36820125579834, 10.676344871520996, 8.368208885192871, 4.747844219207764, 2.7293267250061035, 5.748271465301514, 4.658534526824951]"
46.wav,"[-396.11712646484375, 111.69503021240234, 63.625, 1.7795907258987427, 9.124106407165527, 31.63429832458496, -12.75130558013916, 11.920762062072754, 0.4753049314022064, 27.86393165588379, -17.170557022094727, 20.003108978271484, -3.0965633392333984]"
85.wav,"[-338.5406799316406, 166.90550231933594, 35.103424072265625, 3.1730289459228516, 23.848905563354492, 24.548362731933594, 5.041513919830322, -1.577261209487915, 11.220159530639648, 11.6262845993042, 3.986607313156128, 4.31709623336792, 7.301924228668213]"
84.wav,"[-312.6014404296875, 129.437255859375, 57.305423736572266, 16.490110397338867, 8.375494003295898, 37.75434875488281, -10.178980827331543, 7.320590019226074, 4.8644118309021, 17.01960563659668, -10.811003684997559, 14.74660587310791, 3.6161794662475586]"
47.wav,"[-386.71759033203125, 123.60997772216797, 44.52676010131836, 10.04080581665039, 11.235722541809082, 32.88147735595703, -14.028532981872559, 14.729951858520508, 1.1912204027175903, 22.517148971557617, -15.82374095916748, 19.999069213867188, -2.7401256561279297]"
53.wav,"[-369.5567321777344, 164.6344757080078, 12.853515625, 15.204195022583008, 18.17320442199707, 33.23877716064453, 1.9163812398910522, 9.513384819030762, 10.638174057006836, 11.0703706741333, -4.041134834289551, 12.10254192352295, 5.879733085632324]"
1.wav,"[-293.5167236328125, 111.11445617675781, 17.05243492126465, 34.78389358520508, 5.744203090667725, 42.442405700683594, -11.184183120727539, 9.658982276916504, 9.173773765563965, 18.30235481262207, -15.845802307128906, 18.335174560546875, -5.091439247131348]"
